Popolazione residente al 1° Gennaio 2014 per età sesso e stato civile
Regione,Età,Celibi,Coniugati,Divorziati,Vedovi,Totale Maschi,Nubili,Coniugate,Divorziate,Vedove,Totale Femmine
Piemonte,0,18180,0,0,0,18180,17287,0,0,0,17287
Piemonte,1,19223,0,0,0,19223,18158,0,0,0,18158
Piemonte,2,19619,0,0,0,19619,18078,0,0,0,18078
Piemonte,3,19819,0,0,0,19819,18619,0,0,0,18619
Piemonte,4,20285,0,0,0,20285,19290,0,0,0,19290
Piemonte,5,20583,0,0,0,20583,19248,0,0,0,19248
Piemonte,6,20343,0,0,0,20343,19282,0,0,0,19282
Piemonte,7,20041,0,0,0,20041,18915,0,0,0,18915
Piemonte,8,19863,0,0,0,19863,18703,0,0,0,18703
Piemonte,9,19900,0,0,0,19900,18540,0,0,0,18540
Piemonte,10,19848,0,0,0,19848,18669,0,0,0,18669
Piemonte,11,19268,0,0,0,19268,18545,0,0,0,18545
Piemonte,12,19438,0,0,0,19438,18391,0,0,0,18391
Piemonte,13,20167,0,0,0,20167,18898,0,0,0,18898
Piemonte,14,19593,0,0,0,19593,18195,0,0,0,18195
Piemonte,15,19498,0,0,0,19498,18329,0,0,0,18329
Piemonte,16,19258,0,0,0,19258,18365,1,0,0,18366
Piemonte,17,19190,2,0,0,19192,17881,2,0,0,17883
Piemonte,18,19225,2,0,0,19227,17871,45,0,0,17916
Piemonte,19,19228,11,2,0,19241,18056,219,1,0,18276
Piemonte,20,19416,35,5,0,19456,18044,412,1,0,18457
Piemonte,21,20039,66,2,0,20107,18300,772,5,0,19077
Piemonte,22,20106,166,15,0,20287,18228,1192,16,1,19437
Piemonte,23,20505,337,10,0,20852,18040,1769,26,2,19837
Piemonte,24,20148,610,14,0,20772,17280,2585,25,4,19894
Piemonte,25,20386,1106,19,3,21514,17104,3567,40,3,20714
Piemonte,26,19231,1721,21,2,20975,15998,4653,74,11,20736
Piemonte,27,19346,2444,27,1,21818,15468,5850,77,15,21410
Piemonte,28,19062,3337,37,2,22438,14854,7251,125,16,22246
Piemonte,29,18214,4380,35,3,22632,14076,8378,144,17,22615
Piemonte,30,17710,5836,54,6,23606,13281,9775,198,28,23282
Piemonte,31,17409,7278,82,3,24772,12618,11468,251,43,24380
Piemonte,32,16295,8468,95,8,24866,11721,12604,335,58,24718
Piemonte,33,15583,9839,153,10,25585,10989,14042,427,75,25533
Piemonte,34,15189,11232,190,13,26624,10387,15224,519,62,26192
Piemonte,35,15251,12790,281,21,28343,10512,16747,717,128,28104
Piemonte,36,15065,14207,339,19,29630,10486,18264,888,116,29754
Piemonte,37,14753,15851,437,19,31060,10170,19811,1065,147,31193
Piemonte,38,14608,17702,612,27,32949,10147,21303,1358,178,32986
Piemonte,39,14410,19310,764,40,34524,9775,22780,1562,196,34313
Piemonte,40,13788,20012,885,35,34720,9161,23030,1645,242,34078
Piemonte,41,12815,21416,1054,77,35362,8657,23999,2014,274,34944
Piemonte,42,12297,22061,1249,80,35687,8126,25344,2123,315,35908
Piemonte,43,11370,22733,1336,61,35500,7541,25159,2277,424,35401
Piemonte,44,10949,24151,1577,88,36765,7307,26439,2587,439,36772
Piemonte,45,10060,24591,1698,115,36464,6588,26654,2726,516,36484
Piemonte,46,9434,24969,1793,128,36324,6353,26803,2805,625,36586
Piemonte,47,9051,25416,1979,166,36612,5978,27224,2799,631,36632
Piemonte,48,8305,25786,2147,183,36421,5596,27306,3017,832,36751
Piemonte,49,7796,26536,2281,204,36817,5330,28215,3046,883,37474
Piemonte,50,6724,25243,2123,240,34330,4716,26387,2901,969,34973
Piemonte,51,6054,24446,2076,283,32859,4327,25591,2878,1121,33917
Piemonte,52,5622,24584,2036,220,32462,3992,25453,2809,1244,33498
Piemonte,53,5080,23924,2119,291,31414,3580,24891,2777,1408,32656
Piemonte,54,4832,23727,2071,335,30965,3388,24177,2659,1486,31710
Piemonte,55,4447,23212,1917,380,29956,3028,23705,2596,1646,30975
Piemonte,56,4177,23272,1992,415,29856,2938,23697,2432,1840,30907
Piemonte,57,3802,23081,1830,440,29153,2671,23313,2397,1969,30350
Piemonte,58,3541,22787,1714,500,28542,2582,22834,2246,2174,29836
Piemonte,59,3366,22242,1730,587,27925,2312,22680,2135,2499,29626
Piemonte,60,3034,21830,1560,626,27050,2152,21816,1913,2616,28497
Piemonte,61,2972,22249,1467,638,27326,2132,21680,1811,2888,28511
Piemonte,62,2774,21602,1354,748,26478,1923,21621,1736,3137,28417
Piemonte,63,2760,22584,1349,805,27498,1865,22378,1730,3742,29715
Piemonte,64,2620,23141,1253,963,27977,1785,22358,1607,4118,29868
Piemonte,65,2677,24269,1284,1084,29314,1868,23248,1631,4906,31653
Piemonte,66,2447,23927,1214,1205,28793,1782,22403,1505,5165,30855
Piemonte,67,2317,23244,1150,1288,27999,1608,21559,1464,5663,30294
Piemonte,68,1768,17703,801,1043,21315,1298,16152,983,4875,23308
Piemonte,69,1870,18856,794,1265,22785,1383,17072,1037,5707,25199
Piemonte,70,1845,18321,696,1367,22229,1417,16719,1002,6297,25435
Piemonte,71,1849,18527,625,1533,22534,1421,16427,1004,6918,25770
Piemonte,72,1919,18269,644,1607,22439,1575,16143,866,7675,26259
Piemonte,73,1971,19907,650,1986,24514,1658,16879,854,9251,28642
Piemonte,74,1895,19422,523,2146,23986,1695,16121,835,10068,28719
Piemonte,75,1838,18648,540,2253,23279,1591,14931,784,10608,27914
Piemonte,76,1626,16644,441,2221,20932,1579,12978,647,10548,25752
Piemonte,77,1359,15115,369,2254,19097,1508,11107,557,10768,23940
Piemonte,78,1413,14540,322,2307,18582,1605,10288,510,11997,24400
Piemonte,79,1225,13010,267,2369,16871,1422,8945,448,12175,22990
Piemonte,80,1164,11701,251,2357,15473,1469,7700,401,12437,22007
Piemonte,81,1103,10771,235,2333,14442,1488,6773,347,12958,21566
Piemonte,82,1013,9784,172,2397,13366,1528,5845,300,13148,20821
Piemonte,83,951,9204,167,2514,12836,1577,5160,314,13676,20727
Piemonte,84,829,7474,123,2325,10751,1451,3882,259,12699,18291
Piemonte,85,694,6137,97,2217,9145,1417,3100,231,12040,16788
Piemonte,86,569,5045,78,2094,7786,1331,2389,210,11561,15491
